      No     Day     Mon    Year  Qobs_0000000045  Qsim_0000000045
     476      19       6    1994      136.2000000      146.9075884
     477      20       6    1994      137.7500000      139.1376708
     478      21       6    1994      142.4100000      141.2259125
     479      22       6    1994      131.5800000      128.9420471
     480      23       6    1994      114.9500000      117.2807071
     481      24       6    1994      111.9700000      108.7822397
     482      25       6    1994       94.9100000      102.1334401
     483      26       6    1994       90.8400000       96.8991296
     484      27       6    1994       89.5100000       92.6130379
     485      28       6    1994       94.9100000      102.9780436
     486      29       6    1994      133.1200000      111.3381840
     487      30       6    1994      110.4900000      100.6513772
     488       1       7    1994       97.6800000       95.5621793
     489       2       7    1994      109.0200000       90.2574981
     490       3       7    1994       78.0900000       85.5681682
     491       4       7    1994       81.7900000       82.2507945
     492       5       7    1994      107.5400000       94.5903391
     493       6       7    1994      127.0000000      107.8381265
     494       7       7    1994      114.9500000      118.6270412
     495       8       7    1994      139.3000000      126.9548038
     496       9       7    1994      131.5800000      130.7523547
     497      10       7    1994      119.4400000      116.7554903
     498      11       7    1994       99.0900000      106.3614897
     499      12       7    1994       85.6000000       99.4738610
     500      13       7    1994       84.3100000       94.1403836
     501      14       7    1994       83.0400000       90.1164031
     502      15       7    1994       72.1500000       86.4481132
     503      16       7    1994       79.3100000       83.1853043
     504      17       7    1994       63.2500000       80.1181107
     505      18       7    1994       60.0900000       79.3962816
     506      19       7    1994       65.4100000       96.3763839
     507      20       7    1994       84.3100000      104.8865923
     508      21       7    1994       86.8900000       99.3554790
     509      22       7    1994       75.6800000       90.2842675
     510      23       7    1994       66.5000000       84.7660768
     511      24       7    1994       59.0600000       81.0394635
     512      25       7    1994       56.0400000       77.9838546
     513      26       7    1994       59.0600000       75.1958058
     514      27       7    1994       54.0800000       72.6300614
     515      28       7    1994       52.1600000       70.2667972
     516      29       7    1994       51.2100000       68.0878592
     517      30       7    1994       53.1100000       66.0684834
     518      31       7    1994       50.2800000       64.1919609
     519       1       8    1994       54.0800000       62.4481305
     520       2       8    1994       53.1100000       60.8260215
     521       3       8    1994       48.4400000       59.3188790
     522       4       8    1994       47.5300000       57.9055488
     523       5       8    1994       50.2800000       56.5790691
     524       6       8    1994       46.6400000       55.7168378
     525       7       8    1994       45.7600000       57.3971649
     526       8       8    1994       47.5300000       60.5722061
     527       9       8    1994       50.2800000       61.6347760
     528      10       8    1994       44.0200000       55.7242907
     529      11       8    1994       50.2800000       69.2525821
     530      12       8    1994       65.4100000       81.4285675
     531      13       8    1994       60.0900000       96.2504458
     532      14       8    1994       96.2900000      101.2613833
     533      15       8    1994      109.0200000       81.5840551
     534      16       8    1994       74.4900000       75.9361496
     535      17       8    1994       64.3200000       82.1853103
     536      18       8    1994       75.6800000      104.0624127
     537      19       8    1994       88.2000000       93.7753276
     538      20       8    1994       75.6800000       83.9873527
     539      21       8    1994       66.5000000       78.8280811
     540      22       8    1994       60.0900000       74.6111951
     541      23       8    1994       66.5000000       71.2595296
     542      24       8    1994       67.6100000       92.1237048
     543      25       8    1994      106.0800000      134.1393928
     544      26       8    1994      171.0800000      157.9441697
     545      27       8    1994      130.0500000      135.4298660
     546      28       8    1994      101.7000000      117.5245259
     547      29       8    1994       81.7900000      114.5377190
     548      30       8    1994      104.6100000      122.8720304
     549      31       8    1994       89.5100000      112.7405176
     550       1       9    1994       78.0900000      106.6051998
     551       2       9    1994       76.8800000      110.2843087
     552       3       9    1994       90.8400000      128.0395288
     553       4       9    1994      139.3000000      131.8123396
     554       5       9    1994      114.9500000      116.8350495
     555       6       9    1994       92.1900000      105.1174899
     556       7       9    1994       81.7900000       95.9734613
     557       8       9    1994       73.3100000       98.0478880
     558       9       9    1994       80.5400000      122.8689972
     559      10       9    1994       92.1900000      118.6372003
     560      11       9    1994       86.8900000      106.0401652
     561      12       9    1994       80.5400000       96.9886713
     562      13       9    1994       79.3100000       98.2189100
     563      14       9    1994       84.3100000      163.6632877
     564      15       9    1994      380.5500000      307.3367577
     565      16       9    1994      382.3900000      367.4870865
     566      17       9    1994      376.4300000      419.1240374
     567      18       9    1994      368.5100000      392.4892746
     568      19       9    1994      300.8100000      347.9913735
     569      20       9    1994      232.8800000      297.5109734
     570      21       9    1994      192.8700000      254.2679227
     571      22       9    1994      154.7800000      226.2036871
     572      23       9    1994      146.7600000      200.1596529
     573      24       9    1994      137.2800000      173.8027883
     574      25       9    1994      121.8200000      151.6286016
     575      26       9    1994      112.7400000      138.8821176
     576      27       9    1994      117.2600000      149.5946206
     577      28       9    1994      115.7500000      137.8094634
     578      29       9    1994      109.7500000      121.1657134
     579      30       9    1994       95.8100000      108.9880631
     580       1      10    1994       99.7000000      100.4561581
     581       2      10    1994       86.9800000      116.2667215
     582       3      10    1994      114.2400000      227.0154832
     583       4      10    1994      396.3800000      408.5279563
     584       5      10    1994      538.6800000      456.5745163
     585       6      10    1994      378.4200000      400.5816693
     586       7      10    1994      295.1500000      339.4502499
     587       8      10    1994      225.8000000      289.4568787
     588       9      10    1994      186.1000000      249.1653623
